id,User Name,User ID,Follows,Followers,User Location,content,time
1334834838629576705,Susumu Hirasawa,hirasawa,2,239413,,"その量たるや、

春ウコンを敷き詰め、その上に横たわり、上からシナモンをかぶせ、ルッコラでカバーできる程だ。

勿論このステルスサンドイッチは食べられるが、私は自分をよけて食べる。

動物はよける。それが長年の習慣だから。",Fri Dec 04 12:20:00 +0000 2020
1334833832269254656,Susumu Hirasawa,hirasawa,2,239413,,"思い起こせば約1年9カ月前には

己史上最もシナモンに恵まれた日々の幕が切って落とされた。
（まだ取得時の80%以上が残っている）",Fri Dec 04 12:16:00 +0000 2020
1334832825455894536,Susumu Hirasawa,hirasawa,2,239413,,同様に、己史上最も春ウコンに恵まれた日々を生きている。,Fri Dec 04 12:12:00 +0000 2020
1334831818940448768,Susumu Hirasawa,hirasawa,2,239413,,"ルッコラを知らない人は

胡麻のような香りの植物と覚えると良い。

胡麻を知らない人は、ルッコラのような香りの植物と覚えると良い。",Fri Dec 04 12:08:00 +0000 2020
1334830812521521155,Susumu Hirasawa,hirasawa,2,239413,,"2020年の夏にもルッコラは巡ってきた。

しかし、その量たるや今日のステルスとルッコラの比率からすればむしろルッコラがヒラサワに恵まれていたと言える程度だ。",Fri Dec 04 12:04:00 +0000 2020
1334829811177545728,Susumu Hirasawa,hirasawa,2,239413,,己史上最もルッコラに恵まれた日々を生きている。,Fri Dec 04 12:00:01 +0000 2020
1334483182171815939,Susumu Hirasawa,hirasawa,2,239413,,"高い効率と腰の低さで定評のある空中作詞所。

地に足のつかない作家に好評。

勿論、詐欺師なら足はつかない。

またこんど！！",Thu Dec 03 13:02:38 +0000 2020
1334481095253889031,Susumu Hirasawa,hirasawa,2,239413,,"こんな場所で作詞をすれば、書き出しがかならず

高いところからではありますが

となってしまう。

腰の低い歌詞。",Thu Dec 03 12:54:21 +0000 2020
1334479957636993025,Susumu Hirasawa,hirasawa,2,239413,,ここにテーブルを出し、お天道様の光を浴びながら下界を見下ろし。ルンバが右往左往する様を鼻で笑い。,Thu Dec 03 12:49:49 +0000 2020
1334478928728080386,Susumu Hirasawa,hirasawa,2,239413,,それならば、いささか気分を変えて青の間を飛び出し、ここでやりましょう。 https://t.co/Zd26dEfu7B,Thu Dec 03 12:45:44 +0000 2020
1334477484021088257,Susumu Hirasawa,hirasawa,2,239413,,雑務から宇宙を救うには缶詰となるのが良いとばかりメボシイ缶を見れば年末年始は皆埋まっていた。,Thu Dec 03 12:40:00 +0000 2020
1334476477312753665,Susumu Hirasawa,hirasawa,2,239413,,"迫りくる、にじり寄る雑務を退けて大語界遊覧に没頭するのが良い。

雑務がまとわりつけば3日かかるところを2日で終われば宇宙の寿命は1日延びる。

（作詞で宇宙の寿命を縮める男）",Thu Dec 03 12:36:00 +0000 2020
1334475470830784512,Susumu Hirasawa,hirasawa,2,239413,,"一つのものは間もなく告知されるだろうし、来年告知されるものも有る。

これより作詞作業に復帰する。",Thu Dec 03 12:32:00 +0000 2020
1334474463971336193,Susumu Hirasawa,hirasawa,2,239413,,"サラダに投入し、残りはキンピラにした。

大空の武勇伝はキンピラになった。",Thu Dec 03 12:28:00 +0000 2020
1334473457656971266,Susumu Hirasawa,hirasawa,2,239413,,"皮も剥かずそのまま食べた。

サクサクとしており、ほんのり甘味がある。

ヒマラヤンソルト（ブラック）も合うしベジマヨも合う。",Thu Dec 03 12:24:00 +0000 2020
1334472450831081473,Susumu Hirasawa,hirasawa,2,239413,,"という自然な流れで私は

ヘリアンツス・ツベロスス

をまず生で食べることになった。",Thu Dec 03 12:20:00 +0000 2020
1334471444340895745,Susumu Hirasawa,hirasawa,2,239413,,"双方は地上で歩み寄り、ヘリアンツス・ツベロススがヴォルキス・プロラデュークに言った。

「いがっぺ。お前の寛容に免じでただがいはやめっぺ」

「なら、お前を食わせろ」

「いがっぺ」",Thu Dec 03 12:16:00 +0000 2020
1334470437670178817,Susumu Hirasawa,hirasawa,2,239413,,"ヘリアンツス・ツベロスス
は、何やら病んでいる人に良い効果をもたらすと言われているらしく、それなら撃ち落としてはいけないと判断したヴォルキス・プロラデュークは、愛機のツバルくべセルを急降下させた。",Thu Dec 03 12:12:00 +0000 2020
1334469431028822016,Susumu Hirasawa,hirasawa,2,239413,,"人々は上空で繰り広げられる名パイロット同士のバトルを固唾をのんで見守っている。

ヘリアンツス・ツベロスス

VS

ヴォルキス・プロラデューク",Thu Dec 03 12:08:00 +0000 2020
1334468424714440705,Susumu Hirasawa,hirasawa,2,239413,,"ヘリアンツス・ツベロススとは、前から読んでも後ろから読んでも覚えやすさに変化はない、いい響きだ。

敵も尊敬する戦闘機の名パイロットのような響きだ。

響きとしてイイ線いってる食べ物はそう多くはない。",Thu Dec 03 12:04:00 +0000 2020
1334467419553742848,Susumu Hirasawa,hirasawa,2,239413,,"ヘリアンツス・ツベロススという見慣れない植物がやって来たので対峙してみた。

（対峙という言い方は嫌いだが、対峙してみた）",Thu Dec 03 12:00:00 +0000 2020
1333758423612092416,Susumu Hirasawa,hirasawa,2,239413,,"明日一日、左のバケツに15Ｌの水、右のバケツに500mLの希硫酸を入れて立っているべきだ。

そうされるに値する。

明日はおりしも水曜隠れだ。木曜までそうしておれ。

またこんど！！",Tue Dec 01 13:02:42 +0000 2020
1333756388783181827,Susumu Hirasawa,hirasawa,2,239413,,"深く深く反省を求める。

現在、第9曼荼羅のDVDを製作中だが、いったいアレはいつの話だ？
フォロワーが9万人だったあの頃はいつだ？

そしてもうすぐ２４万人だぞ。

オマエタチがダラシナイからこういうことになるんだ。",Tue Dec 01 12:54:37 +0000 2020
1333754458539376645,Susumu Hirasawa,hirasawa,2,239413,,"やめろ！RTするんじゃない！

22位になってしまった。

ヒラサワは隠しておけ。",Tue Dec 01 12:46:57 +0000 2020
1333753796795645953,Susumu Hirasawa,hirasawa,2,239413,,"私のような嘘つきの詐欺師が本当の事を言う時は説得力があるのだ。

思い知れ。",Tue Dec 01 12:44:19 +0000 2020
